Comment,Comment_Title,Date,User Rating,User_Account_Link,Username
"We love this product, easy to use, very fast expand and seems good quality.",Ease of use.,"July 23, 2019",5.0,/gp/profile/amzn1.account.AETH36IYWODOTVA42WDH4AFSGWKA,Amazon Customer
My 14yr. Old son loves this flag. It is the perfect size for above his bed. Also is great of great quality and seems to be durable.,Well worth the price.,"July 21, 2019",5.0,/gp/profile/amzn1.account.AFL2SCPMVJ4E522GFQ2TTBXOFURQ,patti walsh
"Good book. Repeats the same stuff over and over, with different examples. Guess some people need all that reinforcement.","Good information, but it repeats a lot","July 19, 2019",4.0,/gp/profile/amzn1.account.AHQOEOIHG2T222F2PTZ63LAOMGNA,Ken Doman
Only time will tell but this is the fifth pocket hose I have purchased and this one seems sturdier than the others.,Seems like a sturdy expandable hose,"July 19, 2019",5.0,/gp/profile/amzn1.account.AGBDIUPNRKS5DTRPFO5O5BJLHAUA,Kathy Kostka Constantine
Gaarden,Great Hose,"July 18, 2019",4.0,/gp/profile/amzn1.account.AFQYX7YCA2AGG4DKW3WL3UKVINZQ,Amazon Customer
I bought the “Saturday’s are for boys” flag. Great flag. My son plans to put it on the back of his boat.,Great flag!,"July 16, 2019",5.0,/gp/profile/amzn1.account.AHTZSMLK2Z4IAZYE6RF7DQEAFB2Q,Lisa C.
"I purchased the 25', the 100' and now the 75'. They are all wonderful, but my favorite one is the 75', as it allows me towash the car and do everything I need it to do without being too short or long.",Best Expandable Garden Hose Ever,"July 15, 2019",5.0,/gp/profile/amzn1.account.AH76W5YGQ63C33NMCRSKYYI4JB6A,Khorto
"I bought this flag for my brother, it’s what he wanted for his birthday. He loves it however it was a lot bigger then expected. But he made it fit for his room. Nothing was wrong with his the color was nice and the stitching was clean.",Big flag but good quality,"July 13, 2019",4.0,/gp/profile/amzn1.account.AHNZMRYZXPGU5V2T2J4EL5TOJCUQ,Kaylee Drake
Very nice.,I like that.,"July 12, 2019",5.0,/gp/profile/amzn1.account.AERZZBIA4SP6DAG5OEOFBFVRTTAA,FWM Mokammel Huq
Love Barstool Sports. when i saw the merch on Amazon i had to buy. Fast shipping as usual. Will be buying more.,Awesome,"July 11, 2019",5.0,/gp/profile/amzn1.account.AFEOZGSOXJ7PF45MYRAQIGM3ODCQ,Benji
Great book,Great information,"July 7, 2019",5.0,/gp/profile/amzn1.account.AE7HRDTEQIA4C2672AWE4PUPHTYQ,Kindle Customer
Easy read you are going to need sticky notes and keep for reference,Easy read good book,"July 6, 2019",5.0,/gp/profile/amzn1.account.AFPYY735DWTWM7JDMX45OG7LOJYA,Katie G
Enjoyed the book very much.,Perfect Organization Book - innovative,"July 6, 2019",5.0,/gp/profile/amzn1.account.AFV3OIYNQS2LEMKJMBIKWB5M52PA,Megandci
fab product.. went beyond my expectations!,most beautiful design,"July 5, 2019",5.0,/gp/profile/amzn1.account.AEAXL7NYJVKEOWZVMIOVATBUJFJQ,Libby Mutina
"I’m writing children’s books, etc",Helpful book,"July 2, 2019",3.0,/gp/profile/amzn1.account.AFBYNKJ3MY7KF5MCEHV6IK7RZP2A,Rj Kammeraad
I love this book turn to it alot,Learn to live stress free,"June 29, 2019",5.0,/gp/profile/amzn1.account.AGPN6OUCVZIQ2E3QSNZP7AYYQ2LQ,jakehaven
"It would be great if i received it, it is saying it was delivered to me...i got everything in the order except that...I’m not sure how to go about this...i have never experienced this before...who can i contact? What i received i love.....",Order,"June 28, 2019",1.0,/gp/profile/amzn1.account.AGVCK7D4AZO3GGEJJLEBYKOANV2Q,Amazon Customer
"This is a quality driver head cover! Love the colors and of course the Barstool Sports mantra of SAFTB! It was a little pricey than most head covers, but worth it.",The best club head cover out there.,"June 24, 2019",5.0,/gp/profile/amzn1.account.AEU3ZUTAXWDRIH7FQR5E3JH52JJA,Alexp
